"conteo","fecha_recorrido","responsable","hora","codigo","articulo","unidad","categoria","stock_anterior","contado","diferencia","estado"
"2","2026-08-18 12:47","alechiesa.subatir","12:48","220043","Ceniza de soda (PH+)","Kg","Materias Primas","300","1250","950","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:48","220126","Sal Fina Yodada","Kg","Materias Primas","600","750","150","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:48","220113","Parafina","Kg","Materias Primas","80","80","0","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:49","220013","Azosoft (Base suavizante)","Kg","Materias Primas","440","460","20","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:50","220071","Euperlan HCO (Opacador)","Kg","Materias Primas","34","34","0","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:50","220116","Perlante 80 %","Kg","Materias Primas","37","37","0","MEDIO"
"2","2026-08-18 12:47","alechiesa.subatir","12:50","220044","Cera natural de Abejas","Kg","Materias Primas","100","80","-20","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:51","220007","Agua destilada (Radiadores)","L","Materias Primas","120","80","-40","MEDIO"
"2","2026-08-18 12:47","alechiesa.subatir","12:51","220004","Acido Clorhidrico","kg","Materias Primas","200","130","-70","CRITICO"
"2","2026-08-18 12:47","alechiesa.subatir","12:52","220060","Dietilenglicol","L","Materias Primas","11","11","0","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:52","220175","Verde Liquido Oscuro","L","Materias Primas","50","50","0","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:52","220125","Propilenglicol (A. Radiador)","L","Materias Primas","24","22","-2","CRITICO"
"2","2026-08-18 12:47","alechiesa.subatir","12:53","220002","Fluido DC/200 Y PMX200-350cs (Aceite de silicona)","Kg","Materias Primas","15","15","0","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:53","220061","EDTA Tetrasodico","Kg","Materias Primas","225","150","-75","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:53","220155","Enzurlan 7 moles","Kg","Materias Primas","20","20","0","CRITICO"
"2","2026-08-18 12:47","alechiesa.subatir","12:53","220016","Blanqueador Optico","Kg","Materias Primas","25","25","0","MEDIO"
"2","2026-08-18 12:47","alechiesa.subatir","12:54","220161","Dipropilenglicol","L","Materias Primas","50","100","50","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:54","220117","Peroxido Hidrogeno 200 Vol (Agua Oxigenada)","kg","Materias Primas","1000","1000","0","OPTIMO"
"2","2026-08-18 12:47","alechiesa.subatir","12:54","220045","Cera QTE","Kg","Materias Primas","1200","300","-900","CRITICO"
